Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,charades-generator.com,https://www.kidscharades.com/online-charades-generator.html,charadesideasgenerator.com,play.gameonfamily.com/charades/,getcharadesideas.com,charades-generator.com (pages),https://www.kidscharades.com/online-charades-generator.html (pages),charadesideasgenerator.com (pages),play.gameonfamily.com/charades/ (pages),getcharadesideas.com (pages),Results
english movie names for dumb charades,Informational,210,23,0.00,0.33,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,62
english movies for damsharas,Informational,210,23,0.00,0.33,0,0,0,0,6,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,82
family charades game,"Informational, Transactional",210,23,0.35,0.93,0,0,0,0,8,,,,,https://www.getcharadesideas.com/resources/family-charades-ideas-and-how-to-act-them-out/,184
fun charades ideas,Informational,210,37,0.03,0.67,0,0,6,0,2,,,https://charadesideasgenerator.com/funny-charades-ideas/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,120
game of charades,Informational,210,54,0.50,0.31,0,0,0,0,16,,,,,https://www.getcharadesideas.com/,157
great charades topics,Informational,210,40,0.03,0.17,0,0,29,0,2,,,https://charadesideasgenerator.com/funny-charades-ideas/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,128
hangman famous people,Informational,210,11,0.00,0.33,0,0,0,0,8,,,,,https://www.getcharadesideas.com/resources/famous-people-charades-ideas-the-complete-list/,129
movie names for dumb charades,Informational,210,23,0.00,0.33,0,0,0,0,13,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,90
movies for damsharas english,Informational,210,24,0.00,0.33,0,0,0,0,4,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,83
movies for dumb charades,Informational,210,22,0.00,0.33,0,0,0,0,8,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,96
reverse charades ideas,Informational,210,12,0.00,0.03,0,0,3,0,0,,,https://charadesideasgenerator.com/reverse-charades-generator/,,,124
scharades,Informational,210,57,0.54,0.07,0,43,0,47,6,,https://www.kidscharades.com/online-charades-generator.html,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,135
serades,Informational,210,59,0.38,0.06,0,0,0,46,6,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,128
sheraids game,Commercial,210,55,0.45,0.10,0,0,0,43,14,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,198
songs for charades,Informational,210,22,0.00,0.06,0,0,4,0,1,,,https://charadesideasgenerator.com/song-titles-for-charades/,,https://www.getcharadesideas.com/resources/charades-song-ideas/,123
songs ideas,Informational,210,25,1.13,0.04,0,0,0,0,37,,,,,https://www.getcharadesideas.com/resources/charades-song-ideas/,108
things to do for charades,Informational,210,25,0.02,0.18,0,0,28,0,2,,,https://charadesideasgenerator.com/funny-charades-ideas/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,145
xmas pictionary ideas,Informational,210,17,0.00,0.33,0,0,0,0,45,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,106
camping would,Navigational,170,47,0.71,0.85,0,0,46,0,0,,,https://charadesideasgenerator.com/camping-charades-ideas/,,,0
charada game,Informational,170,64,0.50,0.31,0,0,0,45,8,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,157
charade rules,Informational,170,17,0.00,0.33,0,0,73,0,18,,,https://charadesideasgenerator.com/charades-rules/,,https://www.getcharadesideas.com/how-to-play-charades/,110
charades box,Informational,170,20,0.00,0.28,0,43,0,65,11,,https://www.kidscharades.com/online-charades-generator.html,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,200
charades for christmas words,Informational,170,12,0.00,0.05,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,132
charades ideas for thanksgiving,Informational,170,5,0.00,0.07,0,0,38,0,9,,,https://charadesideasgenerator.com/thanksgiving-charades-generator/,,https://www.getcharadesideas.com/resources/charades-thanksgiving-ideas/,102
charading,Informational,170,57,0.45,0.10,0,0,0,0,11,,,,,https://www.getcharadesideas.com/,132
chardes game,"Commercial, Informational",170,52,0.50,0.31,0,0,0,62,16,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,197
cherades game,Commercial,170,54,0.45,0.10,0,0,0,41,15,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,193
chrades game,Informational,170,47,0.50,0.31,0,0,0,0,17,,,,,https://www.getcharadesideas.com/,199
christmas categories,Informational,170,6,0.00,0.24,0,0,0,0,15,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,133
christmas charades board game,Commercial,170,19,0.00,0.00,0,0,0,0,6,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,121
christmas charades/pictionary,Commercial,170,16,0.00,0.00,0,0,0,0,7,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,127
christmas heads up,Informational,170,10,0.58,0.69,0,0,0,0,6,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,96
christmas pictionary word generator,Informational,170,21,0.42,0.46,0,0,0,0,21,,,,,https://www.getcharadesideas.com/christmas-charades-ideas/,86
damsharas movie names,Informational,170,28,0.00,0.00,0,0,0,0,16,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,106
difficult movies for dumb charades,Informational,170,31,0.00,0.33,0,0,0,0,15,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,82
easy charades game,Informational,170,45,0.03,0.21,0,0,0,40,2,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,120
film names for dumb charades,Informational,170,27,0.00,0.33,0,0,0,0,15,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,100
game word generator,Informational,170,41,0.00,0.00,0,0,0,45,0,,,,https://play.gameonfamily.com/charades/,,107
games similar to charades,Informational,170,19,0.37,0.50,0,0,0,0,54,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,122
good charade games,"Commercial, Informational",170,44,0.04,0.38,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,190
great charades,Informational,170,48,0.03,0.16,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,138
great charades ideas,Informational,170,42,0.02,0.55,0,0,32,0,1,,,https://charadesideasgenerator.com/funny-charades-ideas/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,113
heads up game words,Informational,170,48,0.17,0.03,0,0,0,0,22,,,,,https://www.getcharadesideas.com/,138
hood charades,Informational,170,25,0.27,0.92,0,0,0,0,11,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,163
movie names for damsharas,Informational,170,27,0.00,0.33,0,0,0,0,14,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,108
movies name for damsharas,Informational,170,27,0.00,0.33,0,0,0,0,19,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,106
pictionary charades game,Informational,170,17,0.00,0.37,0,0,0,0,23,,,,,https://www.getcharadesideas.com/,180
pictionary movies,Informational,170,21,0.00,0.33,0,0,0,0,14,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,98
play charades game,Informational,170,50,0.47,0.15,0,0,0,0,22,,,,,https://www.getcharadesideas.com/,186
printable charades,Informational,170,23,0.00,0.83,0,0,0,0,3,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,107
random action generator,Commercial,170,4,0.00,0.00,0,0,4,0,0,,,https://charadesideasgenerator.com/actions-charades-generator/,,,95
scherades,Informational,170,60,0.54,0.07,0,42,0,47,5,,https://www.kidscharades.com/online-charades-generator.html,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,135
sherades game,Informational,170,52,0.50,0.31,0,0,0,64,17,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,196
sherrades,Informational,170,61,0.45,0.10,0,0,0,0,7,,,,,https://www.getcharadesideas.com/,132
songs with fun in title,Informational,170,19,0.00,0.33,0,0,32,0,0,,,https://charadesideasgenerator.com/song-titles-for-charades/,,,91
spell charades,Informational,170,51,0.00,0.33,0,0,0,0,10,,,,,https://www.getcharadesideas.com/,128
surade game,Informational,170,53,0.45,0.10,0,0,0,0,60,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,163
synonyms for charade,Informational,170,20,0.00,0.33,0,0,0,0,62,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,111
telephone charades,Informational,170,2,0.00,0.33,0,0,0,0,17,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,172
thanksgiving charades ideas,Informational,170,9,0.00,0.33,0,0,38,0,7,,,https://charadesideasgenerator.com/thanksgiving-charades-generator/,,https://www.getcharadesideas.com/resources/charades-thanksgiving-ideas/,104
thanksgiving charades topics,Informational,170,6,0.00,0.07,0,0,11,0,7,,,https://charadesideasgenerator.com/thanksgiving-charades-generator/,,https://www.getcharadesideas.com/resources/charades-thanksgiving-ideas/,91
thanksgiving charades words,Informational,170,74,0.00,0.33,0,0,35,0,0,,,https://charadesideasgenerator.com/thanksgiving-charades-generator/,,,125
theatre play ideas,Informational,170,8,0.00,0.33,0,0,0,0,15,,,,,https://www.getcharadesideas.com/resources/charades-theatre-ideas/,136
things to act out,Informational,170,33,0.02,0.10,0,0,22,0,6,,,https://charadesideasgenerator.com/funny-charades-ideas/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,120
tough movies for charades,Informational,170,31,0.00,0.00,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,236000
tv programme ideas,Informational,170,24,0.00,0.00,0,0,0,0,15,,,,,https://www.getcharadesideas.com/resources/charades-tv-show-ideas-article/,1060
action generator,Informational,140,12,5.70,0.05,0,0,9,0,0,,,https://charadesideasgenerator.com/actions-charades-generator/,,,166
best things for charades,Commercial,140,38,0.03,0.16,0,0,40,0,1,,,https://charadesideasgenerator.com/funny-charades-ideas/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,174
celebrity heads,Informational,140,22,0.00,0.03,0,0,32,0,18,,,https://charadesideasgenerator.com/celebrity-charades-generator/,,https://www.getcharadesideas.com/resources/famous-people-charades-ideas-the-complete-list/,172
charade gif,Informational,140,18,0.00,0.33,0,0,0,0,15,,,,,https://www.getcharadesideas.com/,107
charades cards to print,Informational,140,6,0.00,0.29,0,0,0,0,5,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,106
charades for middle schoolers,Informational,140,18,0.05,0.48,0,5,0,0,3,,https://www.kidscharades.com/online-charades-generator.html,,,https://www.getcharadesideas.com/resources/charades-ideas-for-kids-of-all-ages-the-ultimate-list-130-ideas/,181
charades game night,Informational,140,21,0.00,0.30,0,0,0,0,49,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,185
charades how to play,Informational,140,48,0.00,0.02,0,0,74,0,26,,,https://charadesideasgenerator.com/how-to-play-charades/,,https://www.getcharadesideas.com/how-to-play-charades/,98
charades ideas for teens,Informational,140,19,0.03,0.59,0,0,8,0,6,,,https://charadesideasgenerator.com/charades-ideas-for-teens/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,113
charades team building,Informational,140,9,0.00,0.07,0,0,0,0,57,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,125
charades themes,Informational,140,41,0.00,0.09,0,0,4,0,2,,,https://charadesideasgenerator.com/charades-themes/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,129
charades to print,Informational,140,14,0.00,0.53,0,0,0,0,10,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,107
chrades,Informational,140,57,0.54,0.07,0,36,0,0,6,,https://www.kidscharades.com/online-charades-generator.html,,,https://www.getcharadesideas.com/,135
christmas charades list,Informational,140,19,0.00,0.33,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,109
christmas charades printable,Informational,140,12,0.00,1.00,0,0,0,0,23,,,,,https://www.getcharadesideas.com/christmas-charades-ideas/,103
christmas holiday charades,Informational,140,12,0.00,0.42,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,115
dance charades,Informational,140,18,0.37,0.41,0,0,0,0,18,,,,,https://www.getcharadesideas.com/resources/charades-song-ideas/,105
dance charades game,Informational,140,4,0.37,0.41,0,0,24,0,0,,,https://charadesideasgenerator.com/dance-charades-ideas/,,,160
difficult english movie names for damsharas,Informational,140,28,0.00,0.33,0,0,0,0,9,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,96
dirty pictionary words,Informational,140,9,0.00,0.04,0,0,0,0,38,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,89
dirty words for pictionary,Informational,140,19,0.00,0.04,0,0,0,0,16,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,84
dislikes generator,Informational,140,14,0.00,0.00,0,0,0,0,52,,,,,https://www.getcharadesideas.com/,95
draw names for christmas generator,Informational,140,40,0.00,0.36,0,0,0,0,64,,,,,https://www.getcharadesideas.com/christmas-charades-ideas/,176
dress up games dress up celebrities,Informational,140,20,0.00,0.33,0,0,0,0,93,,,,,https://www.getcharadesideas.com/resources/famous-people-charades-ideas-the-complete-list/,168
easy charades for kids,Informational,140,21,0.00,0.00,0,2,0,0,4,,https://www.kidscharades.com/online-charades-generator.html,,,https://www.getcharadesideas.com/resources/charades-ideas-for-kids-of-all-ages-the-ultimate-list-130-ideas/,195
easy charades words,Informational,140,36,0.03,0.41,0,0,0,34,6,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,124
famous people generator,Informational,140,5,0.00,0.33,0,0,0,0,17,,,,,https://www.getcharadesideas.com/resources/famous-people-charades-ideas-the-complete-list/,107
food charades game,Commercial,140,15,0.00,0.11,0,0,2,0,25,,,https://charadesideasgenerator.com/food-charades-ideas/,,https://www.getcharadesideas.com/,166
freaky dares otp,Commercial,140,18,0.00,0.33,0,0,0,0,59,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,109
funny charades topics,Informational,140,33,0.03,0.17,0,0,26,0,7,,,https://charadesideasgenerator.com/funny-charades-ideas/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,106
good topics for charades,Informational,140,41,0.03,0.16,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,120
halloween charade words,Informational,140,15,0.00,0.04,0,0,0,0,5,,,,,https://www.getcharadesideas.com/resources/charades-halloween-ideas/,110
halloween dares,Informational,140,8,0.00,0.03,0,0,0,0,63,,,,,https://www.getcharadesideas.com/resources/charades-halloween-ideas/,110
hard things for charades,Informational,140,24,0.04,0.23,0,0,26,0,1,,,https://charadesideasgenerator.com/funny-charades-ideas/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,177
heads up christmas,"Commercial, Informational",140,34,0.00,0.33,0,0,0,0,10,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,133
heads up words,Informational,140,37,0.00,0.01,0,0,0,0,15,,,,,https://www.getcharadesideas.com/,122
ideas for songs to write,Informational,140,21,1.39,0.08,0,0,0,0,85,,,,,https://www.getcharadesideas.com/resources/charades-song-ideas/,172
ideas of plays,Informational,140,13,0.00,0.33,0,0,0,0,22,,,,,https://www.getcharadesideas.com/resources/charades-theatre-ideas/,136
movies for damsharas,Informational,140,26,0.00,0.33,0,0,0,0,15,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,111
pick a random celebrity,"Commercial, Informational",140,20,0.00,0.33,0,0,0,0,28,,,,,https://www.getcharadesideas.com/resources/famous-people-charades-ideas-the-complete-list/,121
pictionary films,Informational,140,24,0.00,0.33,0,0,0,0,12,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,87
picture cards for charades,Commercial,140,3,0.00,0.02,0,0,7,0,19,,,https://charadesideasgenerator.com/picture-charades-generator/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,180
printable charades game,Informational,140,5,0.00,0.53,0,0,0,0,3,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,131
rules charades,Informational,140,18,0.00,0.33,0,0,43,0,23,,,https://charadesideasgenerator.com/charades-rules/,,https://www.getcharadesideas.com/charades-rules/,108
team building charades,Informational,140,9,0.00,0.07,0,0,0,0,45,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,131
the game of charades,Informational,140,49,0.45,0.10,0,0,0,0,53,,,,,https://www.getcharadesideas.com/how-to-play-charades/,187
theatrical play ideas,Informational,140,21,0.00,0.01,0,0,0,0,27,,,,,https://www.getcharadesideas.com/resources/charades-theatre-ideas/,197
things to act out charades,Informational,140,19,0.03,0.23,0,0,20,0,2,,,https://charadesideasgenerator.com/action-charades-ideas/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,168
topics for charades,Informational,140,29,0.02,0.17,0,0,41,0,2,,,https://charadesideasgenerator.com/funny-charades-ideas/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,124
tough english movie names for dumb charades,Informational,140,28,0.00,0.33,0,0,0,0,8,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,64
tough movies for dumb charades,Informational,140,27,0.00,0.33,0,0,0,0,13,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,97
tv series ideas,Informational,140,24,0.00,0.00,0,0,0,0,18,,,,,https://www.getcharadesideas.com/resources/charades-tv-show-ideas-article/,958
what are charades,Informational,140,48,0.10,0.05,0,0,0,0,40,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,133
winter charades,Informational,140,3,0.30,1.00,0,0,0,0,14,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,107
word generator for games,Commercial,140,14,0.00,0.33,0,0,0,57,0,,,,https://play.gameonfamily.com/charades/,,106
xmas charade,Commercial,140,29,0.42,0.59,0,0,0,0,3,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,154
xmas charades,Informational,140,16,0.00,0.42,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,129
act out game,Informational,110,44,0.50,0.41,0,0,0,0,37,,,,,https://www.getcharadesideas.com/resources/charades-action-ideas/,133
act the word,Informational,110,66,0.00,0.33,0,0,34,0,22,,,https://charadesideasgenerator.com/actions-charades-generator/,,https://www.getcharadesideas.com/resources/charades-action-ideas/,107
action charades,Informational,110,9,0.03,0.29,0,0,5,0,29,,,https://charadesideasgenerator.com/actions-charades-generator/,,https://www.getcharadesideas.com/,196
bible charades for adults,Informational,110,3,0.00,0.07,0,0,5,0,0,,,https://charadesideasgenerator.com/bible-charades-ideas/,,,111
bridal shower charades,"Commercial, Informational",110,8,0.44,1.00,0,0,3,0,0,,,https://charadesideasgenerator.com/bridal-shower-charades-ideas/,,,175
can you talk in charades,Informational,110,24,0.00,0.33,0,0,0,0,38,,,,,https://www.getcharadesideas.com/,175
catchphrase word generator,Informational,110,32,0.00,0.33,0,0,0,50,20,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,98
categories in charades,Informational,110,43,0.02,0.19,0,0,28,0,4,,,https://charadesideasgenerator.com/charades-categories/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,131
celebrity randomizer,"Commercial, Informational",110,15,0.00,0.33,0,0,0,0,34,,,,,https://www.getcharadesideas.com/resources/famous-people-charades-ideas-the-complete-list/,95
charades adult,Informational,110,9,0.35,0.54,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/100-adult-charades-ideas/,100
charades board,Commercial,110,53,0.24,0.74,0,0,0,0,14,,,,,https://www.getcharadesideas.com/,185
charades cards printable,Informational,110,3,0.00,0.43,0,0,0,0,4,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,159
charades clues,Informational,110,35,0.03,0.77,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,121
charades dance,Informational,110,18,0.00,0.26,0,0,0,0,36,,,,,https://www.getcharadesideas.com/resources/charades-song-ideas/,113
charades game examples,Informational,110,39,0.02,0.55,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,133
charades guessing game,Informational,110,57,0.70,0.44,0,20,0,38,15,,https://www.kidscharades.com/online-charades-generator.html,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,203
charades holiday,Informational,110,22,0.00,0.14,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,115
charades idea,Informational,110,43,0.03,0.31,0,0,14,0,2,,,https://charadesideasgenerator.com/charades-themes/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,133
charades team building game,Informational,110,11,0.00,0.07,0,0,0,0,34,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,150
charades with emojis,Informational,110,17,0.00,0.07,0,0,6,0,0,,,https://charadesideasgenerator.com/emoji-charades/,,,91
charades words for teens,Informational,110,18,0.06,0.74,0,0,10,0,4,,,https://charadesideasgenerator.com/charades-ideas-for-teens/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,100
charedes,Informational,110,58,0.45,0.10,0,40,0,0,6,,https://www.kidscharades.com/online-charades-generator.html,,,https://www.getcharadesideas.com/,135
chatades,"Commercial, Informational",110,58,0.45,0.10,0,0,0,40,7,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,132
children's charades list,Informational,110,23,0.03,1.00,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-kids-of-all-ages-the-ultimate-list-130-ideas/,121
christmas charades card game,Informational,110,9,0.00,0.33,0,0,0,0,9,,,,,https://www.getcharadesideas.com/christmas-charades-ideas/,116
christmas charades cards,Commercial,110,8,0.00,0.33,0,0,0,0,15,,,,,https://www.getcharadesideas.com/christmas-charades-ideas/,132
christmas charades for kids,Informational,110,11,0.00,0.00,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,145
christmas charades free printable,Informational,110,6,0.00,0.33,0,0,0,0,21,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,103
christmas charades songs,Informational,110,3,0.00,0.33,0,0,0,0,4,,,,,https://www.getcharadesideas.com/resources/charades-song-ideas/,104
christmas dares,Informational,110,24,0.00,0.33,0,0,0,0,52,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,134
christmas song charades,Informational,110,5,0.00,0.33,0,0,0,0,5,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,107
christmas themed charades,Commercial,110,12,0.00,0.33,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,153
christmas things that start with q,Informational,110,15,0.00,0.33,0,0,0,0,63,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,150
difficult movies for charades,Informational,110,40,0.00,0.33,0,0,0,0,3,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,92
family charades cards,Commercial,110,6,0.00,0.98,0,0,0,0,8,,,,,https://www.getcharadesideas.com/resources/family-charades-ideas-and-how-to-act-them-out/,185
free printable christmas charades,Informational,110,8,0.00,0.33,0,0,0,0,17,,,,,https://www.getcharadesideas.com/christmas-charades-ideas/,103
free printable christmas charades game,Informational,110,8,0.00,0.33,0,0,0,0,30,,,,,https://www.getcharadesideas.com/christmas-charades-ideas/,103
game charades,"Commercial, Informational",110,50,0.45,0.10,0,0,0,45,18,,,,https://play.gameonfamily.com/charades/,https://www.getcharadesideas.com/,189
good charades topics,Informational,110,42,0.02,0.24,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,116
good things to do for charades,Informational,110,33,0.03,0.07,0,0,37,0,1,,,https://charadesideasgenerator.com/funny-charades-ideas/,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,152
halloween charades cards,Informational,110,2,0.00,0.33,0,0,0,0,16,,,,,https://www.getcharadesideas.com/resources/charades-halloween-ideas/,170
halloween charades games,Commercial,110,7,0.00,0.00,0,0,0,0,22,,,,,https://www.getcharadesideas.com/resources/charades-halloween-ideas/,175
hard films to guess,Informational,110,41,0.00,0.33,0,0,0,0,5,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,104
hard movies to guess,Informational,110,31,0.00,0.33,0,0,0,0,5,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,102
heads up categories,Informational,110,66,0.00,0.01,0,0,0,0,16,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,127
holiday15,Informational,110,40,0.00,0.02,0,0,0,0,51,,,,,https://www.getcharadesideas.com/resources/charades-ideas-for-christmas-the-complete-list-118-words-phrases/,373000
i think you should leave charades,Informational,110,20,0.00,0.33,0,0,0,0,43,,,,,https://www.getcharadesideas.com/,156
ideas for a song name,Informational,110,17,1.12,0.33,0,0,0,0,52,,,,,https://www.getcharadesideas.com/resources/charades-song-ideas/,168
list for charades,Informational,110,27,0.02,0.10,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,111
list of charades ideas,Informational,110,30,0.03,0.39,0,0,0,0,1,,,,,https://www.getcharadesideas.com/resources/a-list-of-120-easy-and-hard-charades-ideas/,121
made up songs,Informational,110,30,0.00,0.01,0,0,0,0,37,,,,,https://www.getcharadesideas.com/resources/charades-song-ideas/,143
movies for hangman,Informational,110,27,0.00,0.00,0,0,0,0,2,,,,,https://www.getcharadesideas.com/resources/the-big-list-of-137-charades-movie-ideas/,88
name a random celebrity,Informational,110,10,0.00,0.33,0,0,0,0,34,,,,,https://www.getcharadesideas.com/resources/famous-people-charades-ideas-the-complete-list/,100
